"logFC","AveExpr","t","P.Value","adj.P.Val","B"
-2.4898,7.59714833333333,-23.3396281441546,9.22876202667261e-07,0.000207362446834231,6.78023974026162
2.72961,7.19545166666667,23.3165445907926,9.27921571862344e-07,0.000207362446834231,6.77485741124322
-2.44759,7.80549666666667,-23.283665223622,9.35164240902865e-07,0.000207587758195618,6.76717904257991
-2.303635,8.30951833333333,-23.2036668936808,9.53066278912775e-07,0.000210160582046084,6.74843792267105
-3.019755,8.17024833333333,-23.112309984106,9.74006315329797e-07,0.000213365054483791,6.72693302133846
4.75428,8.00520833333333,23.0812462715364,9.81249649092936e-07,0.0002135468599075,6.71959568614135
-2.5603,8.01038333333333,-22.9099724543165,1.0223454669719e-06,0.000221045694894566,6.6789096793432
-2.805745,8.01545,-22.8536811830497,1.03629261742241e-06,0.000222615711498799,6.66545186319734
-2.234265,7.51338666666667,-22.8163180956183,1.04567380757025e-06,0.000223068248162936,6.65649567612316
2.761875,8.1737,22.7681812034404,1.05790801745202e-06,0.000223068248162936,6.64492904671342
-2.353055,8.14457666666667,-22.7440883425987,1.06409462183683e-06,0.000223068248162936,6.63912803882815
2.186595,8.34625666666667,22.7384188074482,1.06555664409727e-06,0.000223068248162936,6.63776179571631
-2.80907,7.58635666666667,-22.707566119977,1.07355434028365e-06,0.000223068248162936,6.63031923643826
-2.517305,7.73654666666667,-22.6882584045875,1.07859530751217e-06,0.000223068248162936,6.62565504123843
-2.187895,10.3382683333333,-22.555781868267,1.11394527014006e-06,0.000228957010246009,6.5935144162165
-4.50078,7.89671666666667,-22.5184224104039,1.12415983086829e-06,0.000229638956370685,6.58440670992359
2.666585,8.189085,22.4278673318444,1.14938015804033e-06,0.000233359214160176,6.5622501539448
2.43473999999999,10.74452,22.3676546772179,1.16651909684604e-06,0.000234545529025364,6.54745420320451
-3.000435,8.62338833333333,-22.3579439065027,1.1693112838457e-06,0.000234545529025364,6.54506322757449
-2.85436,5.65190833333333,-22.3149639111478,1.18176448271938e-06,0.000234557921583621,6.53446479761994
-2.86893,7.97349,-22.3080339474625,1.18378699571614e-06,0.000234557921583621,6.53275350035463
-4.31183,6.36812166666667,-22.2851105571255,1.19050631431156e-06,0.000234557921583621,6.52708792375712
2.57862,10.00549,22.1757909445518,1.22317491081781e-06,0.000236269893921969,6.49996676356379
-4.146225,8.17842,-22.1654099118436,1.22633169785221e-06,0.000236269893921969,6.49738248015227
-2.167245,9.64181,-22.1619150687729,1.22739660994525e-06,0.000236269893921969,6.49651211765148
2.638455,7.55844833333333,22.1164981306781,1.24133514334896e-06,0.000236269893921969,6.48518549841309
-3.559115,8.31789666666667,-22.1052842808721,1.24480534657149e-06,0.000236269893921969,6.48238430233152
2.100085,8.30889,22.0910712454112,1.24922010530967e-06,0.000236269893921969,6.47883132038639
2.99599,5.776265,22.0708926314583,1.25551957821606e-06,0.000236269893921969,6.47378206945466
-2.52818,5.310935,-22.061055174953,1.2586042570809e-06,0.000236269893921969,6.47131833791277
-2.23603,8.13323666666667,-22.0469016955696,1.26305796672705e-06,0.000236269893921969,6.4677712366635
-3.072055,10.835165,-22.0175144984975,1.27236474505955e-06,0.000236303345203064,6.4603970702617
-2.343,9.98288833333333,-21.9967416640844,1.27899215260355e-06,0.000236303345203064,6.45517698053943
2.64633,6.68063666666667,21.9794893425201,1.28452729920877e-06,0.000236303345203064,6.45083682103512
3.04254,7.62237666666667,21.7846426555429,1.34904179414578e-06,0.000246807937470725,6.40151789602437
2.53372,10.4533266666667,21.689491119565,1.38193044283306e-06,0.000251443376803346,6.3772304636041
-3.315575,7.28762,-21.6063612883123,1.4114392368894e-06,0.000255416805819057,6.35590138969324
-2.713975,10.01067,-21.5514208895452,1.43134918630617e-06,0.000257619642467224,6.34174826426064
2.050345,8.41589,21.498384445365,1.45088373317237e-06,0.000259731589588389,6.32804252489657
-3.396035,8.25945333333333,-21.46104744385,1.46482430020449e-06,0.000260824891571705,6.31836835973524
2.278415,9.67220833333333,21.3658560511425,1.50108606935128e-06,0.000264852750228399,6.29360807142047
2.19763,9.91673333333333,21.35684304878,1.50457393192346e-06,0.000264852750228399,6.29125653166473
-3.088845,7.578915,-21.3395109370056,1.51130800202408e-06,0.000264852750228399,6.28673099810966
-3.76608,4.362815,-21.2713706109597,1.53812916575134e-06,0.00026722567112118,6.26889439912596
2.567175,7.08832,21.2576323867552,1.54360446155484e-06,0.00026722567112118,6.26528958756124
2.107055,8.658975,21.2384525675213,1.55128692646538e-06,0.00026722567112118,6.26025206778857
2.23419,9.60924666666667,21.2243846058937,1.55695048195059e-06,0.00026722567112118,6.2565535468157
3.56573,9.705775,21.1668815887641,1.58035507179859e-06,0.000269652860892424,6.24140389467798
-1.990745,8.22353666666667,-21.1500380234304,1.5872889670215e-06,0.000269652860892424,6.2369565883887
-3.07436999999999,9.37752333333333,-21.018644841574,1.64262676778789e-06,0.000277637276583925,6.20211186410244
-3.392235,6.36399,-20.9717608387693,1.66292051366455e-06,0.000278690300560849,6.18961280718506
2.67139,7.57306,20.9656286956159,1.66559659463642e-06,0.000278690300560849,6.18797543776942
-3.337385,8.41921833333333,-20.8384880993042,1.72224089205916e-06,0.000285877311004631,6.15389251093303
3.139305,7.08298,20.8308374642027,1.72572122148935e-06,0.000285877311004631,6.15183335999232
-3.08785,6.09738,-20.7901378542802,1.74437562928383e-06,0.000287537006575562,6.14086337859061
